date,Country/Territory/Area,Total confirmed cases,Total deaths,Transmission classification,Days since last reported case,Total cases with travel history to China,Total cases with possible or confirmed transmission outside of China,Likely place of exposure: China,Likely place of exposure: Outside reporting country and outside China,Likely place of exposure: In reporting country,Total cases with site of transmission under investigation
2020/02/01,Republic of Korea,12,,,,,,,,,
2020/02/01,Viet Nam,6,,,,,,,,,
2020/02/01,Singapore,16,,,,,,,,,
2020/02/01,Australia,12,,,,,,,,,
2020/02/01,Malaysia,8,,,,,,,,,
2020/02/01,Cambodia,1,,,,,,,,,
2020/02/01,Philippines,1,,,,,,,,,
2020/02/01,Thailand,19,,,,,,,,,
2020/02/01,Nepal,1,,,,,,,,,
2020/02/01,Sri Lanka,1,,,,,,,,,
2020/02/01,India,1,,,,,,,,,
2020/02/01,United States of America,7,,,,,,,,,
2020/02/01,Canada,4,,,,,,,,,
2020/02/01,France,6,,,,,,,,,
2020/02/01,Finland,1,,,,,,,,,
2020/02/01,Germany,7,,,,,,,,,
2020/02/01,Italy,2,,,,,,,,,
2020/02/01,Russian Federation,2,,,,,,,,,
2020/02/01,Spain,1,,,,,,,,,
2020/02/01,Sweden,1,,,,,,,,,
2020/02/01,United Kingdom,2,,,,,,,,,
2020/02/01,United Arab Emirates,4,,,,,,,,,
2020/02/02,Japan,20,,,,,,,,,
2020/02/02,Republic of Korea,15,,,,,,,,,
2020/02/02,Viet Nam,7,,,,,,,,,
2020/02/02,Singapore,18,,,,,,,,,
2020/02/02,Australia,12,,,,,,,,,
2020/02/02,Malaysia,8,,,,,,,,,
2020/02/02,Cambodia,1,,,,,,,,,
2020/02/02,Philippines,2,,,,,,,,,
2020/02/02,Thailand,19,,,,,,,,,
2020/02/02,Nepal,1,,,,,,,,,
2020/02/02,Sri Lanka,1,,,,,,,,,
2020/02/02,India,2,,,,,,,,,
2020/02/02,United States of America,8,,,,,,,,,
2020/02/02,Canada,4,,,,,,,,,
2020/02/02,France,6,,,,,,,,,
2020/02/02,Finland,1,,,,,,,,,
2020/02/02,Germany,8,,,,,,,,,
2020/02/02,Italy,2,,,,,,,,,
2020/02/02,Russian Federation,2,,,,,,,,,
2020/02/02,Spain,1,,,,,,,,,
2020/02/02,Sweden,1,,,,,,,,,
2020/02/02,United Kingdom,2,,,,,,,,,
2020/02/02,United Arab Emirates,5,,,,,,,,,
2020/02/03,Japan,20,0,,,17,3,,,,0
2020/02/03,Republic of Korea,15,0,,,8,4,,,,3
2020/02/03,Viet Nam,8,0,,,6,2,,,,0
2020/02/03,Singapore,18,0,,,18,0,,,,0
2020/02/03,Australia,12,0,,,12,0,,,,0
2020/02/03,Malaysia,8,0,,,7,1,,,,0
2020/02/03,Cambodia,1,0,,,1,0,,,,0
2020/02/03,Philippines,2,1,,,1,0,,,,1
2020/02/03,Thailand,19,0,,,18,1,,,,0
2020/02/03,Nepal,1,0,,,1,0,,,,0
2020/02/03,Sri Lanka,1,0,,,1,0,,,,0
2020/02/03,India,3,0,,,3,0,,,,0
2020/02/03,United States of America,11,0,,,8,2,,,,1
2020/02/03,Canada,4,0,,,3,0,,,,1
2020/02/03,France,6,0,,,5,1,,,,0
2020/02/03,Finland,1,0,,,1,0,,,,0
2020/02/03,Germany,10,0,,,2,8,,,,0
2020/02/03,Italy,2,0,,,2,0,,,,0
2020/02/03,Russian Federation,2,0,,,2,0,,,,0
2020/02/03,Spain,1,0,,,0,1,,,,0
2020/02/03,Sweden,1,0,,,1,0,,,,0
2020/02/03,United Kingdom,2,0,,,1,1,,,,0
2020/02/03,United Arab Emirates,5,0,,,5,0,,,,0
2020/02/04,Japan,20,0,,,17,3,,,,0
2020/02/04,Republic of Korea,16,0,,,8,5,,,,3
2020/02/04,Viet Nam,9,0,,,7,2,,,,0
2020/02/04,Singapore,18,0,,,18,0,,,,0
2020/02/04,Australia,12,0,,,12,0,,,,0
2020/02/04,Malaysia,10,0,,,7,2,,,,1
2020/02/04,Cambodia,1,0,,,1,0,,,,0
2020/02/04,Philippines,2,1,,,1,0,,,,1
2020/02/04,Thailand,19,0,,,18,1,,,,0
2020/02/04,Nepal,1,0,,,1,0,,,,0
2020/02/04,Sri Lanka,1,0,,,1,0,,,,0
2020/02/04,India,3,0,,,3,0,,,,0
2020/02/04,United States of America,11,0,,,8,2,,,,1
2020/02/04,Canada,4,0,,,3,0,,,,1
2020/02/04,France,6,0,,,5,1,,,,0
2020/02/04,Finland,1,0,,,1,0,,,,0
2020/02/04,Germany,12,0,,,2,10,,,,0
2020/02/04,Italy,2,0,,,2,0,,,,0
2020/02/04,Russian Federation,2,0,,,2,0,,,,0
2020/02/04,Spain,1,0,,,0,1,,,,0
2020/02/04,Sweden,1,0,,,1,0,,,,0
2020/02/04,United Kingdom,2,0,,,1,1,,,,0
2020/02/04,United Arab Emirates,5,0,,,5,0,,,,0
2020/02/05,Japan,33,0,,,20,13,,,,0
2020/02/05,Republic of Korea,18,0,,,8,7,,,,3
2020/02/05,Viet Nam,10,0,,,7,3,,,,0
2020/02/05,Singapore,24,0,,,20,4,,,,0
2020/02/05,Australia,13,0,,,13,0,,,,0
2020/02/05,Malaysia,10,0,,,7,2,,,,1
2020/02/05,Cambodia,1,0,,,1,0,,,,0
2020/02/05,Philippines,3,1,,,2,0,,,,1
2020/02/05,Thailand,25,0,,,20,5,,,,0
2020/02/05,Nepal,1,0,,,1,0,,,,0
2020/02/05,Sri Lanka,1,0,,,1,0,,,,0
2020/02/05,India,3,0,,,3,0,,,,0
2020/02/05,United States of America,11,0,,,8,2,,,,1
2020/02/05,Canada,5,0,,,3,0,,,,2
2020/02/05,France,6,0,,,5,1,,,,0
2020/02/05,Finland,1,0,,,1,0,,,,0
2020/02/05,Germany,12,0,,,2,10,,,,0
2020/02/05,Italy,2,0,,,2,0,,,,0
2020/02/05,Russian Federation,2,0,,,2,0,,,,0
2020/02/05,Spain,1,0,,,0,1,,,,0
2020/02/05,Sweden,1,0,,,1,0,,,,0
2020/02/05,United Kingdom,2,0,,,1,1,,,,0
2020/02/05,Belgium,1,0,,,1,0,,,,0
2020/02/05,United Arab Emirates,5,0,,,5,0,,,,0
2020/02/06,Singapore,28,0,,,21,7,,,,0
2020/02/06,Japan,25,0,,,21,4,,,,0
2020/02/06,Republic of Korea,23,0,,,10,11,,,,2
2020/02/06,Australia,14,0,,,14,0,,,,0
2020/02/06,Malaysia,12,0,,,9,2,,,,1
2020/02/06,Viet Nam,10,0,,,7,3,,,,0
2020/02/06,Philippines,3,1,,,2,0,,,,1
2020/02/06,Cambodia,1,0,,,1,0,,,,0
2020/02/06,Thailand,25,0,,,21,4,,,,0
2020/02/06,India,3,0,,,3,0,,,,0
2020/02/06,Nepal,1,0,,,1,0,,,,0
2020/02/06,Sri Lanka,1,0,,,1,0,,,,0
2020/02/06,United States of America,12,0,,,10,2,,,,0
2020/02/06,Canada,5,0,,,3,0,,,,2
2020/02/06,Germany,12,0,,,2,10,,,,0
2020/02/06,France,6,0,,,5,1,,,,0
2020/02/06,Italy,2,0,,,2,0,,,,0
2020/02/06,Russian Federation,2,0,,,2,0,,,,0
2020/02/06,The United Kingdom,2,0,,,1,1,,,,0
2020/02/06,Belgium,1,0,,,1,0,,,,0
2020/02/06,Finland,1,0,,,1,0,,,,0
2020/02/06,Spain,1,0,,,0,1,,,,0
2020/02/06,Sweden,1,0,,,1,0,,,,0
2020/02/06,United Arab Emirates,5,0,,,5,0,,,,0
2020/02/06,International conveyance (Diamond Princess),20,0,,,0,0,,,,20
2020/02/07,Singapore,30,0,,,21,9,,,,0
2020/02/07,Japan,25,0,,,21,4,,,,0
2020/02/07,Republic of Korea,24,0,,,11,11,,,,2
2020/02/07,Australia,15,0,,,15,0,,,,0
2020/02/07,Malaysia,14,0,,,9,4,,,,1
2020/02/07,Viet Nam,12,0,,,7,5,,,,0
2020/02/07,Philippines,3,1,,,2,0,,,,1
2020/02/07,Cambodia,1,0,,,1,0,,,,0
2020/02/07,Thailand,25,0,,,21,4,,,,0
2020/02/07,India,3,0,,,3,0,,,,0
2020/02/07,Nepal,1,0,,,1,0,,,,0
2020/02/07,Sri Lanka,1,0,,,1,0,,,,0
2020/02/07,United States of America,12,0,,,10,2,,,,0
2020/02/07,Canada,7,0,,,6,0,,,,1
2020/02/07,Germany,13,0,,,2,11,,,,0
2020/02/07,France,6,0,,,5,1,,,,0
2020/02/07,Italy,3,0,,,3,0,,,,0
2020/02/07,The United Kingdom,3,0,,,1,2,,,,0
2020/02/07,Russian Federation,2,0,,,2,0,,,,0
2020/02/07,Belgium,1,0,,,1,0,,,,0
2020/02/07,Finland,1,0,,,1,0,,,,0
2020/02/07,Spain,1,0,,,0,1,,,,0
2020/02/07,Sweden,1,0,,,1,0,,,,0
2020/02/07,United Arab Emirates,5,0,,,5,0,,,,0
2020/02/07,International conveyance (Diamond Princess),61,0,,,0,0,,,,61
2020/02/08,Singapore,33,0,,,21,12,,,,0
2020/02/08,Japan,25,0,,,21,4,,,,0
2020/02/08,Republic of Korea,24,0,,,11,11,,,,2
2020/02/08,Australia,15,0,,,15,0,,,,0
2020/02/08,Malaysia,15,0,,,9,4,,,,2
2020/02/08,Viet Nam,13,0,,,8,5,,,,0
2020/02/08,Philippines,3,1,,,2,0,,,,1
2020/02/08,Cambodia,1,0,,,1,0,,,,0
2020/02/08,Thailand,32,0,,,22,6,,,,4
2020/02/08,India,3,0,,,3,0,,,,0
2020/02/08,Nepal,1,0,,,1,0,,,,0
2020/02/08,Sri Lanka,1,0,,,1,0,,,,0
2020/02/08,United States of America,12,0,,,10,2,,,,0
